kore	করে
mritodeho	মৃতদেহ
matha	মাথা
korton	কর্তন
nilo	নিল
zekhane	সেখানে
edino	এদিনও
kache	কাছে
achi	আছি
onek	অনেক
to	তো
unar	উনার
deya	দেয়া
lash	লাশ
namano	নামানো
dorkar	দরকার
vikkha	ভিক্ষা
chaile	চাইলে
namabo	নামাবো
cholo	চলো
cheler	ছেলের
lasher	লাশের
swapnarani	স্বপ্নারাণী
swaraj	স্বরাজ
raja	রাজা
kane	কানে
asbar	আসবার
por	পর
eto	এত
nichu	নিচু
onuvob	অনুভব
ze	যে
sugata	সুগত
suhas	সুহাস
suhasini	সুহাসিনী
suhrid	সুহৃদ
sukur	সুকুর
sulochana	সুলোচনা
suru	সুরু
suruj	সুরজ
surya	সুর্য়
lojjay	লজ্জায়
vabchi	ভাবছি
odhikar	অধিকার
korbar	করবার
dike	দিকে
egiyechilen	এগিয়েছিলেন
alochonay	আলোচনায়
folafol	ফলাফল
dekhe	দেখে
onumoti	অনুমতি
akromon	আক্রমণ
hari হাড়ি
koren	করেন
tader	তাদের
ke	কে
bojhate	বোঝাতে
somortho	সমর্থ
hon	হন
eta	এটা
asole	আসলে
bijoyer	বিজয়ের
chinho	চিহ্ন
tobe	তবে
bahinir	বাহিনীর
koyek	কয়েক
hajar	হাজার
sena	সেনা
alas	অলস
mara	মারা
jay	যায়
ager	আগের
akriti	আকৃতি
bekar	বেকার
kotha	কথা
bujhbar	বুঝবার
jonno	জন্য
hadis	হাদিস
somporke	সম্পর্কে
jante	জানতে
er	এর
vranto	ভ্রান্ত
baniye	বানিয়ে
adi	আদি
vitti	ভিত্তি
komiye	কমিয়ে
felechilo	ফেলেছিল
keno	কেন
tara	তারা
eke	একে
ontorvukto	অন্তর্ভুক্ত
korlo	করলো
emon	এমন
korechilo	করেছিল
zake	যাকে
dhukte	ঢুকতে
dite	দিতে
asoka	আশোক
pare	পারে
iccha	ইচ্ছেমত
moto	মত
zuge	যুগে
badha	বাধা
pochon	পচন
jiniser	জিনিসের
zotodin	যতদিন
shason	শাসন
dayitter	দায়িত্বের
ditiyo	দ্বিতীয়
sobcheye	সবচেয়ে
somporko	সম্পর্ক
erpori	এরপরই
nojor	নজর
fere	ফেরে
ved	ভেদ
vaagh	বাঘ
vaal	ভাল
vaalbos	ভালবোস
varoter	ভারতের
annahar	আন্নেহার
biye	বিয়ে
diyechilen	দিয়েছিলেন
shasoner	শাসনের
bahirer	বাহিরের
shasti	শাস্তি
paren	পারেন
emonta	এমনটা
janan	জানান
nen	নেন
sevabe	সেভাবে
tomake	তোমাকে
vabe	ভাবে
marbo	মারবো
zevabe	যেভাবে
kauke	কাউকে
shikar	স্বীকার
shikar	শিকার
khela	খেলা
mari	মারি
bedona	বেদনা
swapan	স্বপন
swapna	স্বপ্না
ni	নি
vaable	ভাবলে
dik	দিক
sorao	সরাও
haslen	হাসলেন
hasir	হাসির
jigges	জিজ্ঞেস
dalai	দলাই
dalal	দালাল
dani	দানী
danik	দৈনিক
korlen	করলেন
pagol	পাগল
majhe	মাঝে
pete	পেটে
poka	পোকা
durgondher	দুর্গন্ধের
srishty	সৃষ্টি
shona	শোনা
gondho	গন্ধ
songbad	সংবাদ
pouchano	পৌঁছানো
tin	তিন
diner	দিনের
keu	কেউ
dosh	দোষ
jane	জানে
shoytanero	শয়তানেরও
kharap	খারাপ
bujhi	বুঝি
chaoya	চাওয়া
za	যা
mone	মনে
shoytaner	শয়তানের
attiyota	আত্মীয়তা
pitar	পিতার
zesob	যেসব
kaj	কাজ
amra	আমরা
suru	শুরু
nischito	নিশ্চিত
jani	জানি
roktopat	রক্তপাত
ghotano	ঘটানো
prodhan	প্রধান
pabar	পাবার
zothesto	যথেষ্ট
bidroho	বিদ্রোহ
hok	হোক
chaiten	চাইতেন
janano	জানানো
mrittur	মৃত্যুর
amader	আমাদের
kobitar	কবিতার
vashay	ভাষায়
bolechilen	বলেছিলেন
ta	তা
onubad	অনুবাদ
korle	করলে
nirbachon	নির্বাচন
daray	দাঁড়ায়
procharer	প্রচারের
pochonshil	পচনশীল
jinis	জিনিস
ohoroho	অহরহ
chesta	চেষ্টা
korche	করছে
ojana	অজানা
tula	তুলা
tularani	তুলারানী
tuli	তুলি
tulika	তুলিকা
byapare	ব্যাপারে
shopoth	শপথ
darai	দ্বারাই
cheye	চেয়ে
zabe	যাবে
jabe	যাবে
itihaser	ইতিহাসের
patay	পাতায়
tai	তাই
bitorkito	বিতর্কিত
shasoker	শাসকের
patatei	পাতাতেই
amader	আমাদের
ebarer	এবারের
vromoner	ভ্রমনের
chena	চেনা
bistarito	বিস্তারিত
alochona	আলোচনা
choya	ছোয়া
korar	করার
purbe	পূর্বে
kichu	কিছু
sotorkota	সতর্কতা
mulok	মূলক
bishoy	বিষয়
tule	তুলে
dhorbo	ধরব
vromon	ভ্রমণ
amaderke	আমাদেরকে
bivinno	বিভিন্ন
package	প্যাকেজ
tate	তাতে
raji	রাজি
holam	হলাম
angsho	অংশ
ar	অর
arati	আরতি
kortechilo	করতেছিল
ebong	এবং
poran	পরান
zaha	যাহা
chay	চায় 
tapas	তাপস
subidhar	সুবিধার
boltechilo	বলতেছিল
chinta	চিন্তা
korlam	করলাম
trainer	ট্রেনের
line	লাইন
somosyar	সমস্যার
karone	কারনে
con	কন
cos	কস
dai	দাই
daktar	ডাক্তর
ha	হ্যাঁ
dukkhito	দুঃখিত
nilam	নিলাম
shorto	শর্ত
hoteler	হোটেলের
room	রুম
valo	ভাল
jana	জানা
par	পার
ache	আছে
nei	নেই
sobar	সবার
boka	বোকা
share	শেয়ার
keui	কেউই
jora	জোড়া
zeno	যেনো
dhoroner	ধরনের
somosyay	সমস্যায়
pore	পরে
osohay	অসহায়
sob	সব
dhire	ধীরে
mene	মেনে
nite	নিতে
dhol	ঢোল
dholai	ধোলাই
dibakar	দিবাকর
ebar	এবার
india	ইন্ডিয়া
korbo	করব
border	বর্ডার
ektu	একটু
vinno	ভিন্ন
vabei	ভাবেই
planta	প্লানটা
ese	এসে
bimane	বিমানে
charpasher	চারপাশের
poribesh	পরিবেশ
sundor	সুন্দর
rakhun	রাখুন
moyla	ময়লা
aborjona	আবর্জনা
o	ও
opochonshil	অপচনশীল
jinis	জিনিস
fela	ফেলা
biroto	বিরত
parbo	পারবো
thakun	থাকুন
kosto	কষ্ট
ajke	আজকে
bipokkhe	বিপক্ষে
zara	যারা
korbe	করবে
neoya	নেওয়া
boithoke	বৈঠকে
bolen	বলেন
likhito	লিখিত
akare	আকারে
dolke	দলকে
janate	জানাতে
elakay	এলাকায়
din	দিন
dina	দিনা
dip	দীপ
sobaike	সবাইকে
doler	দলের
niyom	নিয়ম
jante	জানতে
cholte	চলতে
achoron	আচরণ
vaggo	ভাগ্য
tader	তাঁদের
dorshanor	দর্শানোর
notice	নোটিশ
nirdesh	নির্দেশ
diyechen	দিয়েছেন
somoy	সময়
agami	আগামী
jatiyo	জাতীয়
songsod	সংসদ
nirbachoner	নির্বাচনের
thoke	ঠকে
kendrio	কেন্দ্রীয়
netader	নেতাদের
pray	প্রায়
vaga	ভাগা
sobai	সবাই
thako	থাকো
uposthit	উপস্থিত
borjo	বর্জ্য
amit	অমিত
asit	অসিত
felar	ফেলার
nirdisto	নির্দিষ্ট
jayga	জায়গা
khoroch	খরচ
bachate	বাঁচাতে
chalano	চালানো
nirgomoner	নির্গমনের
bartaman	বর্তমান
basab	বাসব
bhushan	ভূষন
ektai	একটাই
amar	আমার
namti	নামটি
likho	লিখো
arun	অরুণ
badni	বদনী
ashepasher	আশপাশের
onnanno	অন্যান্য
karkhanar	কারখানার
giye	গিয়ে
node	নদে
basha	বাসা
barite	বাড়িতে
tike	টিকে
thaka	থাকা
kothin	কঠিন
elakar	এলাকার
protiti	প্রতিটি
shakha	শাখা
soroker	সড়কের
pashei	পাশেই
royeche	রয়েছে
bishal	বিশাল
khola	খোলা
sekhan	সেখান
aro	আরও
adha	আধা
kilometer	কিলোমিটার
zetei	যেতেই
dekha	দেখা
gelo	গেল
probahito	প্রবাহিত
prochar	প্রচার
torol	তরল
khudro	ক্ষুদ্র
bybshayi	ব্যবসায়ী
badhano	বাঁধানো
noder	নদের
nich	নীচ
tire	তীরে
ghurte	ঘুরতে
rajya	রাজ্য
ase	আসে
der	দের
modhye	মধ্যে
bishoye	বিষয়ে
bondhu	বন্ধু
bondhur	বন্ধুর
sochetonota	সচেতনতা
ekhon	এখন
bereche	বেড়েছে
grohon	গ্রহণ
sthaponer	স্থাপনের
ebar	এবার
chata	ছাটা
shuru	শুরু
jalaton	জ্বালাতন
barnamala	বর্ণমালা
lukano	লুকানো
tuku	টুকু
kosto	কষ্ট
chata	চাটা
vanga	ভাঙা
tilak	তিলক
tarubala	তরুবালা
tarulata	তরুলতা
taruna	তরুনা
nacha	নাচা
opekkha	অপেক্ষা
agano	আগানো
ongo	অঙ্গ
jagano	জাগানো
bishesh	বিশেষ
dhoka	ঢোকা
chumbon	চুম্বন
dekhano	দেখানো
bojha	বোঝা
valobasa	ভালবাসা
bybohar	ব্যবহার
vora	ভরা
bandhobi	বান্ধবী
fela	ফেলা
chata	চাটা
bujhis	বুঝিস
aschi	আসছি
uddeshho	উদ্দেশ্য
ghumano	ঘুমানো
paoya	পাওয়া
ghama	ঘামা
kena	কেনা
par	পার
ashesh	অশেষ
thikana	ঠিকানা
turag	তুরাগ
nod	নদ
paka	পাকা
kobita	কবিতা
vasha	ভাষা
vasha	ভাসা
durbar	দুর্বার
dure	দূরে
nordoma	নর্দমা
toiri	তৈরি
chata	ছাতা
prerona	প্রেরণা
shasti	শাস্তি
